"","id","advmath8","urban","region","gender","famsize","parmarl8","homelang","slfcnc08","slfcnc10","slfcnc12","schtyp8","tcherint","late12","cuts12","absent12","approg","hwkin12","hwkout12","excurr12","computer","hsprog","unitengl","unitmath","unitcalc","schattrt","apoffer","nursery","algebra8","numinst","edexpect","expinc30","achrdg08","achmat08","achsci08","achsls08","achrdg10","achmat10","achsci10","achsls10","achrdg12","achmat12","achsci12","achsls12","cigarett","alcbinge","marijuan","ses"
"42",42,"No","Suburban","North Central","Male",4,"Married","English Only",15,21,31,"Public","Strongly Disagree","Never","Never","1-2 Times","Yes","10-12 Hours","10-12 Hours","5 - 9 Hours","Yes","Academic",4.5,4,0,95,4,"No","No",1,"Ph.D., MD, JD, etc.",40000,40.38,56.85,59.62,47.59,45.6,54.12,62.37,50.62,31.76,49.8,49.56,53.32,"Never","Never","Never",20
"43",43,"Yes","Suburban","North Central","Male",5,"Married","English Only",29,35,38,"Public","Strongly Agree","3-6 Times","Never","3-6 Times","Yes","10-12 Hours","10-12 Hours","Less than 1 Hour","Yes","Rigorous Academic",4,4.5,0.5,95,4,"Yes","Yes",2,"Master's Degree",45000,50.3,50.22,58.27,49.44,54.57,57.48,54.27,61,57.12,57.92,60.81,61.6,"Never","Never","Never",18
"44",44,"No","Suburban","North Central","Male",4,"Married","English Only",23,20,26,"Public","Agree","7-9 Times","1-2 Times","Over 15 Times","No","1-3 Hours","4-6 Hours","Less than 1 Hour","Yes","Other",4,3,0,94,13,"Yes","No",2,"Ph.D., MD, JD, etc.",50000,55.92,43.82,48.2,57.22,53.18,53.51,50.43,65.64,56.27,50.96,50.96,55.99,"Yes","Never","Yes",25
"45",45,"No","Suburban","North Central","Female",4,"Married","English Only",7,4,32,"Public","Agree","Never","Never","1-2 Times","Yes","4-6 Hours","4-6 Hours","None","No","Academic",4,3.5,0,998,0,"Yes",NA,1,"Master's Degree",50000,50.68,44.36,44.7,46.87,56.17,42.99,45.85,48.63,37.33,38.07,36.94,48.63,"Yes","Yes","Yes",11
"46",46,"No","Suburban","North Central","Female",3,"Widowed","Non-English Dominant",18,15,31,"Public","Agree","1-2 Times","Never","10-15 Times","Yes","13-15 Hours","13-15 Hours","1 - 4 Hours","No","Academic",4,4,0,94,7,"8","No",1,"Bachelor's Degree",27000,52,53.73,47.83,48.77,49.7,56.72,43.47,50.12,55.34,56.07,51.13,46.84,"Never","Never","Never",14
"47",47,"Yes","Rural","North Central","Female",7,"Married","English Only",30,24,34,"Public","Strongly Agree","Never","Never","3-6 Times","Yes","4-6 Hours","16-20 Hours","1 - 4 Hours","Yes","Other",1,2.38,0.38,88,0,"Yes","Yes",1,"Ph.D., MD, JD, etc.",40000,58.49,58.94,58.25,53.59,58.9,63.51,50.55,58.59,65.76,62.1,60.48,59.58,"Never","Never","Never",23
"48",48,"No","Suburban","North Central","Male",5,"Married","English Only",22,32,29,"Public","Agree","Never","Never","10-15 Times","Yes","None","13-15 Hours","None","No","Academic",4.5,4.5,0,95,9,"Yes","No",1,"Master's Degree",35000,58.37,60.51,63.09,67.17,52.58,55.39,51.48,60.68,66.26,61.6,59.59,64.13,"Never","Never","Never",21
"49",49,"Yes","Suburban","North Central","Female",5,"98","English Dominant",25,25,43,"Public","Agree","1-2 Times","Never","3-6 Times","Yes","Less than 1 Hour","10-12 Hours","5 - 9 Hours","No","Academic",3.5,3,0.5,92,0,NA,NA,1,"Master's Degree",45000,45,60.01,59.01,50.72,55.46,60.62,56.48,59.08,61.67,59.45,59.99,54.93,"Yes","Yes","Yes",13
"50",50,"No","Rural","North Central","Male",4,"Married","English Only",15,17,29,"Public","Agree","Never","Never","Never","No","4-6 Hours","1-3 Hours","1 - 4 Hours","No","Academic",4,4,0,94,12,"No","No",1,"Bachelor's Degree",35000,43.63,52.6,61.74,54.27,57.7,56.25,62.38,56.52,58.82,60.98,61.41,61.98,"Never","Never","Yes",6
"51",51,"Yes","Suburban","North Central","Female",3,"Married","English Only",19,24,34,"Public","Agree","1-2 Times","Never","7-9 Times","Yes","10-12 Hours","13-15 Hours","5 - 9 Hours","Yes","Academic",4.5,4,0,998,1,"Yes","Yes",1,"Master's Degree",25000,61.87,54.28,53.99,56.93,58.48,54.12,58.43,59.68,55.45,55.1,52.47,59.6,"Never","Never","Never",17
"52",52,"No","Rural","North Central","Male",4,"Married","English Only",13,15,27,"Public","Agree","Never","Never","1-2 Times","No","10-12 Hours","1-3 Hours","None","Yes","Academic",4,4,0,92,0,"No","No",1,"Bachelor's Degree",35000,53.28,57.33,49.08,63.11,58.4,55.29,57.3,54.48,50.31,57.38,54.58,61.39,"Never","Never","Never",21
"53",53,"Yes","Rural","North Central","Male",4,"Married","English Only",28,35,43,"Public","Agree","1-2 Times","1-2 Times","1-2 Times","No","1-3 Hours","Less than 1 Hour","20 - 24 Hours","No","Academic",4,2,0,94,1,"No","Yes",1,"Bachelor's Degree",1e+05,55.17,61.95,59.77,52.36,57.45,60.07,50.83,52.9,51.2,62.13,48.78,57.44,"Never","Never","Never",18
"54",54,"No","Rural","North Central","Male",4,"Married","English Only",22,21,29,"Public","Agree","Never","1-2 Times","Never","No","1-3 Hours","1-3 Hours","None","No","Some Vocational",4,3,0,94,1,"No","No",1,"Bachelor's Degree",35000,52.26,59.6,56.21,66.87,56.71,58.87,67.58,62.51,58.23,56.28,67.54,62.14,"Never","Never","Never",17
"55",55,"Yes","Suburban","North Central","Female",9,"Married","English Dominant",24,18,37,"Public","Agree","1-2 Times","Never","Over 15 Times","No","Less than 1 Hour","7-9 Hours","5 - 9 Hours","Yes","Academic",4,4,0,95,98,"Yes",NA,2,"Bachelor's Degree",40000,55.87,64.85,59.27,53.69,48.7,60.47,58.89,54.76,57.26,62.45,59.07,51.19,"Never","Yes","Never",15
"56",56,"No","Urban","North Central","Female",5,"Married","English Only",13,15,25,"Public","Agree","1-2 Times","1-2 Times","3-6 Times","No","4-6 Hours","4-6 Hours","None","Yes","Rigorous Academic",4,3,0,NA,NA,"Yes","No",2,"Master's Degree",36000,56.41,55.79,62.83,49.77,53.47,56.88,61.6,49.48,52.92,53.02,60.83,53.83,"Yes","Never","Yes",26
"57",57,"No","Rural","North Central","Female",4,"Married","English Only",14,18,27,"Public","Agree","Never","Never","1-2 Times","Yes","16-20 Hours","4-6 Hours","1 - 4 Hours","Yes","Some Vocational",4,2,0,95,1,"No","Yes",1,"Bachelor's Degree",30000,55.66,42.25,50.06,56.9,58.2,44.08,50.9,56.9,61.84,43.14,58.53,57.63,"Never","Never","Never",17
"58",58,"Yes","Suburban","North Central","Male",4,"Married","English Only",21,18,29,"Public","Agree","1-2 Times","Never","1-2 Times","Yes","4-6 Hours","4-6 Hours","15 - 19 Hours","No","Academic",4.5,4,0,998,7,"Yes","Yes",1,"Master's Degree",60000,61.8,69.39,68.04,69.47,62.14,64.79,62.21,63.96,65.34,64.23,63.8,66.89,"Never","Never","Never",21
"59",59,"No","Suburban","North Central","Female",8,"Divorced","English Only",30,33,43,"Public","Agree","Never","Never","1-2 Times","No","4-6 Hours","4-6 Hours","None","No","Some Vocational",3,4,0,93,0,"8","No",1,"Bachelor's Degree",30000,39.77,43.43,59.98,44.86,44.29,54.14,39.24,39.23,38.66,47.59,36.55,42.36,"Never","Never","Never",15
"60",60,"No","Suburban","North Central","Female",4,"Married","English Only",29,28,38,"Public","Disagree","3-6 Times","Never","1-2 Times","Yes","4-6 Hours","1-3 Hours","5 - 9 Hours","Yes","Academic",4.5,4,0,93,0,"No","No",1,"Master's Degree",-6,65.69,65.15,59.75,51.21,59.68,62.21,59.51,45.21,56.42,66.11,60.95,47.57,"Never","Never","Never",22
"61",61,"No","Rural","North Central","Male",4,"Married","English Only",19,25,41,"Public","Agree","Never","Never","Never","Yes","10-12 Hours","16-20 Hours","None","Yes","Rigorous Academic",4,4.5,0,998,0,"Yes","No",1,"Master's Degree",45000,55.94,70.75,60.16,53.67,62.94,65.4,68.69,66.16,62.92,66.26,64.46,60.65,"Never","Never","Never",28
"62",62,"No","Rural","North Central","Male",4,"Married","English Only",21,33,43,"Public","Agree","Never","Never","1-2 Times","No","1-3 Hours","7-9 Hours","Less than 1 Hour","Yes","Rigorous Academic",4.5,4.5,0,998,0,"No","Yes",1,"Bachelor's Degree",27000,53.53,50.12,64.61,51.63,67.59,59.45,67.29,64.96,59.34,59.61,63.22,52.43,"Never","Never","Never",7
"63",63,"Yes","Rural","North Central","Male",5,"Married","English Only",21,24,24,"Public","Agree","Never","Never","1-2 Times","Yes","13-15 Hours","16-20 Hours","10 - 14 Hours","Yes","Rigorous Academic",4,4.5,0,998,0,"8","No",1,"Master's Degree",35000,65.94,73.33,74.41,64.35,66.76,68.59,66.41,67.21,66.65,71.12,68.29,65.39,"Never","Never","Never",12
"64",64,"Yes","Rural","North Central","Female",4,"Married","English Only",20,19,29,"Public","Strongly Agree","Never","Never","Never","Yes","7-9 Hours","16-20 Hours","5 - 9 Hours","No","Rigorous Academic",4,3,0,45,1,"Yes","Yes",1,"Ph.D., MD, JD, etc.",35000,51.67,45.33,47.96,50.32,45.93,46.44,53.74,48.59,57.24,52.72,49.62,51.1,"Never","Never","Never",21
"65",65,"No","Rural","North Central","Female",4,"Married","English Only",10,7,25,"Public","Disagree","1-2 Times","Never","1-2 Times","8","7-9 Hours","4-6 Hours","1 - 4 Hours","No","Rigorous Academic",4,4,0,94,0,"Yes","No",1,"Master's Degree",30000,70.55,69.67,73.6,69.17,62.52,69.75,61.2,65.3,62.2,60.82,56.09,61.17,"Never","Never","Yes",9
"66",66,"No","Rural","North Central","Female",4,"Married","English Only",23,18,29,"Public","Agree","1-2 Times","1-2 Times","1-2 Times","No","16-20 Hours","1-3 Hours","None","No","Some Vocational",4,2.5,0,88,0,"8","No",1,"Less than College Degree",20000,44.4,40.52,48.79,44.7,41.98,40,49.53,44.33,42.29,37.14,52.65,43.7,"Never","Never","Never",15
"67",67,"Yes","Rural","North Central","Male",4,"Married","English Only",17,32,43,"Public","Disagree","Never","Never","3-6 Times","Yes","4-6 Hours","Less than 1 Hour","10 - 14 Hours","No","Academic",3,4,1,998,98,"Yes","Yes",3,"Master's Degree",40000,54.53,70.04,51.11,52.58,56.83,59.72,48.7,61.25,49.46,61.19,50.27,55.32,"Never","Never","Never",27
"68",68,"Yes","Suburban","North Central","Female",7,"Married","English Dominant",28,27,32,"Public","Agree","Never","Never","3-6 Times","Yes","Less than 1 Hour","1-3 Hours","5 - 9 Hours","No","Academic",4,4,1,94,3,"Yes","Yes",1,"Master's Degree",30000,52.85,67.61,66.5,54.9,59.78,68.51,63.13,58.11,57.62,67.5,60.2,62.87,"Never","Never","Never",7
"69",69,"No","Suburban","North Central","Female",5,"Married","English Only",17,18,27,"Public","Agree","1-2 Times","Never","3-6 Times","No","Less than 1 Hour","Less than 1 Hour","None","Yes","Rigorous Academic",5.5,3,0,94,3,"No","Yes",2,"Master's Degree",35000,58.71,54.19,50.77,45.69,59.68,54.45,58.8,44.8,46.19,43.37,43.9,49.4,"Never","Never","Never",22
"70",70,"No","Suburban","North Central","Female",4,"Married","English Dominant",23,35,43,"Public","Agree","1-2 Times","3-6 Times","7-9 Times","No","7-9 Hours","4-6 Hours","1 - 4 Hours","Yes","Academic",5,4.5,0,98,8,"Yes","No",1,"Ph.D., MD, JD, etc.",60000,55.23,52.15,49.1,56.09,59.3,51.27,47.86,47.27,53.06,50.65,47.83,49.22,"Never","Never","Never",8
